size,provider,operation,run,total_bytes,total_mb,elapsed_s,throughput_mb_s,file_count,object_count,rows_matched,num_groups,avg_elapsed_s,avg_throughput_mb_s
test,azure,upload,1,290069,0.29,0.32,0.91,1,,,,,
test,azure,upload,2,290069,0.29,0.09,3.33,1,,,,,
test,azure,upload,3,290069,0.29,0.1,3.04,1,,,,,
test,azure,upload,avg,290069,0.29,,,1,,,,0.17,2.4267
test,azure,listing,1,290069,,0.0386,,,1,,,,
test,azure,listing,2,290069,,0.0356,,,1,,,,
test,azure,listing,3,290069,,0.0367,,,1,,,,
test,azure,listing,avg,290069,,,,,1,,,0.037,
test,azure,download,1,290069,0.29,0.14,2.09,1,,,,,
test,azure,download,2,290069,0.29,0.06,4.48,1,,,,,
test,azure,download,3,290069,0.29,0.04,7.42,1,,,,,
test,azure,download,avg,290069,0.29,,,1,,,,0.08,4.6633
test,azure,scan,1,,,0.2079,,,,75,15,,
test,azure,scan,2,,,0.1415,,,,75,15,,
test,azure,scan,3,,,0.1574,,,,75,15,,
test,azure,scan,avg,,,,,,,75,15,0.1689,
S,azure,upload,1,1000725195,1000.73,17.59,56.91,4,,,,,
S,azure,upload,2,1000725195,1000.73,16.9,59.21,4,,,,,
S,azure,upload,3,1000725195,1000.73,21.79,45.92,4,,,,,
S,azure,upload,avg,1000725195,1000.73,,,4,,,,18.76,54.0133
S,azure,listing,1,1000725195,,0.0672,,,4,,,,
S,azure,listing,2,1000725195,,0.0641,,,4,,,,
S,azure,listing,3,1000725195,,0.0659,,,4,,,,
S,azure,listing,avg,1000725195,,,,,4,,,0.0657,
S,azure,download,1,1000725195,1000.73,23.19,43.15,4,,,,,
S,azure,download,2,1000725195,1000.73,25.08,39.9,4,,,,,
S,azure,download,3,1000725195,1000.73,25.87,38.68,4,,,,,
S,azure,download,avg,1000725195,1000.73,,,4,,,,24.7133,40.5767
S,azure,scan,1,,,22.3562,,,,222591,16,,
S,azure,scan,2,,,18.2216,,,,222591,16,,
S,azure,scan,3,,,18.4322,,,,222591,16,,
S,azure,scan,avg,,,,,,,222591,16,19.67,
M,azure,upload,1,5002582142,5002.58,118.12,42.35,18,,,,,
M,azure,upload,2,5002582142,5002.58,145.22,34.45,18,,,,,
M,azure,upload,3,5002582142,5002.58,136.49,36.65,18,,,,,
M,azure,upload,avg,5002582142,5002.58,,,18,,,,133.2767,37.8167
M,azure,listing,1,5002582142,,0.1597,,,18,,,,
M,azure,listing,2,5002582142,,0.1585,,,18,,,,
M,azure,listing,3,5002582142,,0.1581,,,18,,,,
M,azure,listing,avg,5002582142,,,,,18,,,0.1588,
M,azure,download,1,5002582142,5002.58,110.04,45.46,18,,,,,
M,azure,download,2,5002582142,5002.58,127.49,39.24,18,,,,,
M,azure,download,3,5002582142,5002.58,122.24,40.92,18,,,,,
M,azure,download,avg,5002582142,5002.58,,,18,,,,119.9233,41.8733
M,azure,scan,1,,,87.5436,,,,1114572,16,,
M,azure,scan,2,,,90.986,,,,1114572,16,,
M,azure,scan,3,,,94.1918,,,,1114572,16,,
M,azure,scan,avg,,,,,,,1114572,16,90.9071,
L,azure,upload,1,10005588260,10005.59,195.75,51.11,36,,,,,
L,azure,upload,2,10005588260,10005.59,238.74,41.91,36,,,,,
L,azure,upload,3,10005588260,10005.59,225.34,44.4,36,,,,,
L,azure,upload,avg,10005588260,10005.59,,,36,,,,219.9433,45.8067
L,azure,listing,1,10005588260,,0.0778,,,36,,,,
L,azure,listing,2,10005588260,,0.08,,,36,,,,
L,azure,listing,3,10005588260,,0.0943,,,36,,,,
L,azure,listing,avg,10005588260,,,,,36,,,0.084,
L,azure,download,1,10005588260,10005.59,247.68,40.4,36,,,,,
L,azure,download,2,10005588260,10005.59,249.86,40.04,36,,,,,
L,azure,download,3,10005588260,10005.59,252.69,39.6,36,,,,,
L,azure,download,avg,10005588260,10005.59,,,36,,,,250.0767,40.0133
L,azure,scan,1,,,188.4944,,,,2230413,16,,
L,azure,scan,2,,,173.7221,,,,2230413,16,,
L,azure,scan,3,,,174.8209,,,,2230413,16,,
L,azure,scan,avg,,,,,,,2230413,16,179.0125,
