size,provider,operation,run,total_bytes,total_mb,elapsed_s,throughput_mb_s,file_count,object_count,rows_matched,num_groups,avg_elapsed_s,avg_throughput_mb_s
test,azure,upload,1,290069,0.29,0.3,0.97,1,,,,,
test,azure,upload,2,290069,0.29,0.09,3.33,1,,,,,
test,azure,upload,3,290069,0.29,0.12,2.47,1,,,,,
test,azure,upload,avg,290069,0.29,,,1,,,,0.17,2.2567
test,azure,listing,1,290069,,0.0406,,,1,,,,
test,azure,listing,2,290069,,0.0372,,,1,,,,
test,azure,listing,3,290069,,0.0374,,,1,,,,
test,azure,listing,avg,290069,,,,,1,,,0.0384,
test,azure,download,1,290069,0.29,0.13,2.21,1,,,,,
test,azure,download,2,290069,0.29,0.1,2.96,1,,,,,
test,azure,download,3,290069,0.29,0.05,6.39,1,,,,,
test,azure,download,avg,290069,0.29,,,1,,,,0.0933,3.8533
test,azure,scan,1,,,0.223,,,,75,15,,
test,azure,scan,2,,,0.1522,,,,75,15,,
test,azure,scan,3,,,0.1579,,,,75,15,,
test,azure,scan,avg,,,,,,,75,15,0.1777,
S,azure,upload,1,1000725195,1000.73,263.17,3.8,4,,,,,
S,azure,upload,2,1000725195,1000.73,206.51,4.85,4,,,,,
S,azure,upload,3,1000725195,1000.73,214.39,4.67,4,,,,,
S,azure,upload,avg,1000725195,1000.73,,,4,,,,228.0233,4.44
S,azure,listing,1,1000725195,,0.07,,,4,,,,
S,azure,listing,2,1000725195,,0.0624,,,4,,,,
S,azure,listing,3,1000725195,,0.0615,,,4,,,,
S,azure,listing,avg,1000725195,,,,,4,,,0.0646,
S,azure,download,1,1000725195,1000.73,269.85,3.71,4,,,,,
S,azure,download,2,1000725195,1000.73,268.23,3.73,4,,,,,
S,azure,download,3,1000725195,1000.73,183.5,5.45,4,,,,,
S,azure,download,avg,1000725195,1000.73,,,4,,,,240.5267,4.2967
S,azure,scan,1,,,125.8783,,,,222591,16,,
S,azure,scan,2,,,127.8663,,,,222591,16,,
S,azure,scan,3,,,135.2344,,,,222591,16,,
S,azure,scan,avg,,,,,,,222591,16,129.6597,
S,azure,upload,1,1000725195,1000.73,151.52,6.6,4,,,,,
S,azure,upload,2,1000725195,1000.73,123.79,8.08,4,,,,,
S,azure,upload,3,1000725195,1000.73,116.81,8.57,4,,,,,
S,azure,upload,avg,1000725195,1000.73,,,4,,,,130.7067,7.75
S,azure,listing,1,1000725195,,0.0658,,,4,,,,
S,azure,listing,2,1000725195,,0.0626,,,4,,,,
S,azure,listing,3,1000725195,,0.0628,,,4,,,,
S,azure,listing,avg,1000725195,,,,,4,,,0.0637,
S,azure,download,1,1000725195,1000.73,45.28,22.1,4,,,,,
S,azure,download,2,1000725195,1000.73,46.46,21.54,4,,,,,
S,azure,download,3,1000725195,1000.73,48.43,20.66,4,,,,,
S,azure,download,avg,1000725195,1000.73,,,4,,,,46.7233,21.4333
S,azure,scan,1,,,27.6432,,,,222591,16,,
S,azure,scan,2,,,28.7021,,,,222591,16,,
S,azure,scan,3,,,26.0977,,,,222591,16,,
S,azure,scan,avg,,,,,,,222591,16,27.481,
M,azure,upload,1,5002582142,5002.58,562.86,8.89,18,,,,,
M,azure,upload,2,5002582142,5002.58,879.51,5.69,18,,,,,
M,azure,upload,3,5002582142,5002.58,528.19,9.47,18,,,,,
M,azure,upload,avg,5002582142,5002.58,,,18,,,,656.8533,8.0167
M,azure,listing,1,5002582142,,0.0716,,,18,,,,
M,azure,listing,2,5002582142,,0.0681,,,18,,,,
M,azure,listing,3,5002582142,,0.0686,,,18,,,,
M,azure,listing,avg,5002582142,,,,,18,,,0.0694,
M,azure,download,1,5002582142,5002.58,223.11,22.42,18,,,,,
M,azure,download,2,5002582142,5002.58,230.45,21.71,18,,,,,
M,azure,download,3,5002582142,5002.58,235.34,21.26,18,,,,,
M,azure,download,avg,5002582142,5002.58,,,18,,,,229.6333,21.7967
M,azure,scan,1,,,95.928,,,,1114572,16,,
M,azure,scan,2,,,91.8075,,,,1114572,16,,
M,azure,scan,3,,,92.5483,,,,1114572,16,,
M,azure,scan,avg,,,,,,,1114572,16,93.4279,
L,azure,upload,1,10005588260,10005.59,1359.09,7.36,36,,,,,
L,azure,upload,2,10005588260,10005.59,1281.43,7.81,36,,,,,
L,azure,upload,3,10005588260,10005.59,1327.93,7.53,36,,,,,
L,azure,upload,avg,10005588260,10005.59,,,36,,,,1322.8167,7.5667
L,azure,listing,1,10005588260,,0.1223,,,36,,,,
L,azure,listing,2,10005588260,,0.0708,,,36,,,,
L,azure,listing,3,10005588260,,0.0742,,,36,,,,
L,azure,listing,avg,10005588260,,,,,36,,,0.0891,
L,azure,download,1,10005588260,10005.59,515.16,19.42,36,,,,,
L,azure,download,2,10005588260,10005.59,470.39,21.27,36,,,,,
L,azure,download,3,10005588260,10005.59,434.95,23.0,36,,,,,
L,azure,download,avg,10005588260,10005.59,,,36,,,,473.5,21.23
L,azure,scan,1,,,179.13,,,,2230413,16,,
L,azure,scan,2,,,177.4013,,,,2230413,16,,
L,azure,scan,3,,,174.8431,,,,2230413,16,,
L,azure,scan,avg,,,,,,,2230413,16,177.1248,
